,diameter [cm],velocity [cm/sec],Mass [micrograms],diameter [m],velocity [m/sec],Reynolds,terminal_velocity_empirical
0,0.002,1.197,0.00418,2e-05,0.011970000000000001,0.01592605193370166,0.011912534081028754
1,0.004,4.73,0.0334,4e-05,0.0473,0.12586503867403318,0.04639548644380489
2,0.006,10.3,0.113,6e-05,0.10300000000000001,0.4111236464088398,0.10033651743660202
3,0.008,17.4,0.267,8e-05,0.174,0.9260260773480664,0.16971739806088815
4,0.01,25.4,0.524,0.0001,0.254,1.6897314917127073,0.25044697537891475
5,0.02,72.0,4.19,0.0002,0.72,9.579580110497238,0.7229976756483408
6,0.03,117.0,14.14,0.0003,1.17,23.350226519337014,1.1952532315126023
7,0.04,162.0,33.5,0.0004,1.62,43.108110497237575,1.6317735357492777
8,0.05,206.0,65.5,0.0005,2.06,68.52060773480665,2.0361379122605596
9,0.06,247.0,113.1,0.0006,2.47,98.5898453038674,2.4153866487281386
10,0.07,287.0,179.6,0.0007000000000000001,2.87,133.64844751381216,2.775006690255151
11,0.08,327.0,268.0,0.0008,3.27,174.02903867403316,3.1187248677156796
12,0.09,367.0,382.0,0.0009,3.67,219.73161878453038,3.448927713519149
13,0.1,403.0,524.0,0.001,4.03,268.09519337016576,3.7670624657235363
14,0.12,464.0,905.0,0.0012,4.64,370.41043093922644,4.370003830469363
15,0.14,517.0,1437.0,0.0014000000000000002,5.17,481.5069502762431,4.9303391304388535
16,0.16,565.0,2140.0,0.0016,5.65,601.3847513812154,5.449024720936743
17,0.18,609.0,3050.0,0.0018,6.09,729.2455359116021,5.927556276391164
18,0.2,649.0,4190.0,0.002,6.49,863.4927071823205,6.368633751237588
19,0.22,690.0,5580.0,0.0022,6.9,1009.8474033149171,6.775919993708525
20,0.24,727.0,7240.0,0.0024,7.27,1160.7257900552484,7.153518142426404
21,0.26,757.0,9200.0,0.0026,7.57,1309.3423314917125,7.505508288410617
22,0.28,782.0,11490.0,0.0028000000000000004,7.82,1456.628375690608,7.835650953422047
23,0.3,806.0,14140.0,0.003,8.06,1608.5711602209944,8.147245126283565
